"Time (s)","Heat Pipe TC-01","Heat Pipe TC-02","Heat Pipe TC-03","Heat Pipe TC-04","Heat Pipe TC-05","Heat Pipe TC-06","Heat Pipe TC-07","Heat Pipe TC-08","Heat Pipe TC-09","Heat Pipe TC-10"
8670.002,22.9211796778588,23.374926755712,36.9955749100708,76.3052928242764,241.524508045373,549.593523024473,579.305704101327,579.818142453006,579.634824761453,467.136581800444
8671.002,22.9240158654471,23.3751744874875,37.0001703237903,76.3238388728487,241.615908533757,550.071167555781,579.401015942449,579.91131904923,579.729117180206,467.272691701142
8672.002,22.9240158654471,23.3751726303696,37.0001703237903,76.3238388728487,241.615908533757,550.071167555781,579.401015942449,579.91131904923,579.729117180206,467.272691701142
8673.002,22.9240158654471,23.3751828438111,37.0001703237903,76.3238388728487,241.615908533757,550.071167555781,579.401015942449,579.91131904923,579.729117180206,467.272691701142
8674.002,22.9240158654471,23.3751852053677,37.0001703237903,76.3238388728487,241.615908533757,550.071167555781,579.401015942449,579.91131904923,579.729117180206,467.272691701142
8675.002,22.9240158654471,23.3751869653754,37.0001703237903,76.3238388728487,241.615908533757,550.071167555781,579.401015942449,579.91131904923,579.729117180206,467.272691701142
8676.002,22.9268639560401,23.3754296236513,37.0047495340046,76.3423768508143,241.707405251994,550.549045141487,579.496389310147,580.004547421711,579.823358892288,467.408948371987
8677.002,22.9268639560401,23.375427784127,37.0047495340046,76.3423768508143,241.707405251994,550.549045141487,579.496389310147,580.004547421711,579.823358892288,467.408948371987
8678.002,22.9268639560401,23.3754378975069,37.0047495340046,76.3423768508143,241.707405251994,550.549045141487,579.496389310147,580.004547421711,579.823358892288,467.408948371987
8679.002,22.9268639560401,23.3754402386814,37.0047495340046,76.3423768508143,241.707405251994,550.549045141487,579.496389310147,580.004547421711,579.823358892288,467.408948371987
8680.002,22.9268639560401,23.3754419960163,37.0047495340046,76.3423768508143,241.707405251994,550.549045141487,579.496389310147,580.004547421711,579.823358892288,467.408948371987
8681.002,22.9297239995926,23.3756796847171,37.0093125978477,76.3609067616853,241.798998242866,551.027157486496,579.591824129922,580.097827510048,579.917549924969,467.545351829151
8682.002,22.9297239995926,23.3756778628764,37.0093125978477,76.3609067616853,241.798998242866,551.027157486496,579.591824129922,580.097827510048,579.917549924969,467.545351829151
8683.002,22.9297239995926,23.3756878760179,37.0093125978477,76.3609067616853,241.798998242866,551.027157486496,579.591824129922,580.097827510048,579.917549924969,467.545351829151
8684.002,22.9297239995926,23.3756901966396,37.0093125978477,76.3609067616853,241.798998242866,551.027157486497,579.591824129922,580.097827510048,579.917549924969,467.545351829151
8685.002,22.9297239995926,23.3756919507155,37.0093125978477,76.3609067616853,241.798998242866,551.027157486497,579.591824129922,580.097827510048,579.917549924969,467.545351829151
8686.002,22.9325960462692,23.3759247716364,37.0138595722519,76.3794286089721,241.89068755042,551.5055062583,579.687320329693,580.191159255694,580.011690305502,467.681902091804
8687.002,22.9325960462692,23.3759229675576,37.0138595722519,76.3794286089721,241.89068755042,551.5055062583,579.687320329693,580.191159255694,580.011690305502,467.681902091804
8688.002,22.9325960462692,23.3759328803331,37.0138595722519,76.3794286089721,241.89068755042,551.5055062583,579.687320329693,580.191159255694,580.011690305502,467.681902091804
8689.002,22.9325960462692,23.3759351802469,37.0138595722519,76.3794286089721,241.89068755042,551.5055062583,579.687320329693,580.191159255694,580.011690305502,467.681902091804
8690.002,22.9325960462692,23.3759369305019,37.0138595722519,76.3794286089721,241.89068755042,551.5055062583,579.687320329693,580.191159255694,580.011690305502,467.681902091804
8691.002,22.9354801464451,23.3761649833528,37.0183905139487,76.3979423961837,241.982473219939,551.984093087895,579.782877839742,580.284542601913,580.105780061124,467.818599182049
8692.002,22.9354801464451,23.3761631971029,37.0183905139487,76.3979423961837,241.982473219939,551.984093087895,579.782877839742,580.284542601913,580.105780061124,467.818599182049
